hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,44,2015,September,37,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,41.0,,0,Transient,126.0,0,0,Canceled,2015-08-17,Krystal Cole,Krystal.Cole@hotmail.com,911-963-2819,************6437
Resort Hotel,211,2017,August,31,5,1,1,1,2.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,180.42,0,2,Check-Out,2017-08-07,David Hampton,Hampton.David@aol.com,373-095-8134,************3332
City Hotel,14,2016,June,27,26,1,0,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,0,Canceled,2016-06-12,Steven Payne,StevenPayne60@mail.com,118-783-2606,************2455
Resort Hotel,11,2016,April,15,8,2,7,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,55.78,0,0,Check-Out,2016-04-17,Raymond Burke,Burke.Raymond@aol.com,547-214-5023,************9815
Resort Hotel,330,2017,June,25,19,3,8,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,74.25,0,0,Canceled,2016-09-14,Julie Barnes,Julie_B24@xfinity.com,534-493-5580,************4489
City Hotel,3,2017,July,31,31,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2017-08-02,Jennifer Green,Jennifer.G@comcast.net,834-484-0350,************8164
Resort Hotel,1,2015,October,41,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,94.0,0,Transient,37.0,0,0,Canceled,2015-10-05,Brittany Molina,Brittany.M43@mail.com,922-925-6162,************9666
City Hotel,229,2016,October,43,21,2,2,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,80.75,0,2,Check-Out,2016-10-25,Vanessa Gonzalez,VanessaGonzalez@xfinity.com,509-776-6915,************7283
City Hotel,54,2016,July,30,18,1,2,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,0,No-Show,2016-07-18,Nathan Reynolds,Nathan.R@outlook.com,418-727-7796,************5018
Resort Hotel,0,2016,January,5,30,0,1,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,58.0,1,0,Check-Out,2016-01-31,Brenda Ho DDS,BrendaDDS99@gmail.com,703-386-1248,************7882
City Hotel,5,2016,November,45,2,0,2,1,0.0,0,BB,FRA,Direct,Direct,1,0,3,D,D,0,No Deposit,,91.0,0,Transient,94.0,0,1,Check-Out,2016-11-04,Eric Graves,EricGraves97@mail.com,483-129-4515,************2981
Resort Hotel,115,2015,August,33,10,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,191.0,0,0,Check-Out,2015-08-17,Sara Frazier,Frazier.Sara@gmail.com,366-251-6189,************6600
City Hotel,153,2015,August,32,3,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-06-15,Edward Cruz,Edward.C@verizon.com,985-482-0353,************4744
Resort Hotel,5,2016,June,26,21,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,6,A,A,1,No Deposit,,9.0,0,Transient,65.0,0,0,Check-Out,2016-06-23,Gregory Young,Gregory.Y39@protonmail.com,720-589-3921,************1835
Resort Hotel,11,2017,March,11,13,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,1,Check-Out,2017-03-16,Jessica Navarro,Navarro_Jessica@aol.com,719-669-8863,************1160
Resort Hotel,3,2016,February,7,13,1,1,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,75.0,0,1,Check-Out,2016-02-15,Zachary Adams,Zachary_Adams26@outlook.com,376-506-5754,************7639
City Hotel,1,2017,June,24,13,0,1,2,0.0,0,BB,AGO,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,170.0,0,0,Check-Out,2017-06-14,Kelsey Craig,KelseyCraig@verizon.com,628-723-3497,************1180
City Hotel,55,2017,July,30,24,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,151.0,0,1,Check-Out,2017-07-28,Jason Smith,Jason_S59@verizon.com,269-927-3505,************8732
City Hotel,19,2017,March,12,19,2,2,1,0.0,0,BB,ETH,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0,Canceled,2017-03-06,Karen Sanchez,Karen.Sanchez12@att.com,633-351-3348,************4397
City Hotel,273,2016,November,48,22,0,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,63.75,0,0,Canceled,2016-04-28,Maria Duran,Duran_Maria@zoho.com,506-790-4070,************5961
City Hotel,68,2017,January,4,26,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,111.6,1,0,Check-Out,2017-01-28,Jacqueline Berry,JacquelineBerry@aol.com,831-248-2386,************6103
Resort Hotel,123,2016,October,43,21,2,3,2,0.0,0,BB,SWE,Groups,Corporate,0,0,0,E,E,3,No Deposit,,,0,Transient-Party,75.0,1,1,Check-Out,2016-10-26,Michael Forbes,Michael_Forbes@att.com,676-321-8002,************1484
City Hotel,56,2016,April,17,18,1,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9.0,,0,Transient,165.33,0,0,Canceled,2016-03-09,Christopher Barnes,Barnes.Christopher@aol.com,240-297-9050,************8226
City Hotel,17,2016,September,38,11,2,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,124.0,0,1,Check-Out,2016-09-13,Casey Harris,CHarris@xfinity.com,989-150-0208,************1131
Resort Hotel,18,2017,January,4,27,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,467.0,,0,Transient,52.56,0,0,Check-Out,2017-01-30,Lauren Stewart,LaurenStewart33@yandex.com,468-687-5590,************1115
City Hotel,7,2016,May,19,5,0,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,112.0,0,0,Check-Out,2016-05-08,Bob Johnson,BobJohnson@hotmail.com,526-946-6252,************6671
City Hotel,7,2016,May,23,31,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,0,6,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,1,Check-Out,2016-06-01,Kyle Hall,Kyle_Hall@zoho.com,913-573-9010,************3119
Resort Hotel,12,2015,September,37,6,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,,0,Transient,123.0,0,1,Canceled,2015-08-25,Matthew Anderson,Anderson_Matthew@att.com,904-998-4415,************3452
City Hotel,30,2015,September,40,30,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,121.0,0,0,Canceled,2015-09-15,Abigail Vazquez,Abigail_V62@yahoo.com,559-733-5378,************7905
City Hotel,13,2017,May,21,22,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,7.0,,0,Transient,125.4,0,1,Check-Out,2017-05-23,Joshua Norman,Joshua_N@protonmail.com,351-512-0338,************8007
Resort Hotel,12,2016,November,49,27,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,49.75,0,0,Canceled,2016-11-15,Sheila Harmon,SheilaHarmon66@mail.com,137-664-4365,************5107
City Hotel,28,2017,March,11,12,2,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017-03-14,Erika Davis,Davis_Erika29@yandex.com,956-303-1122,************6822
City Hotel,45,2016,October,43,17,1,0,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,185.4,1,2,Check-Out,2016-10-18,Mr. Timothy Davila,Davila.Mr.@aol.com,502-873-1432,************2068
City Hotel,13,2016,April,16,15,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,A,3,No Deposit,14.0,,0,Transient,125.0,0,0,Check-Out,2016-04-16,Troy Clark,TClark@xfinity.com,794-912-3021,************2094
Resort Hotel,1,2017,March,9,4,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,240.0,,0,Transient-Party,67.0,1,1,Check-Out,2017-03-05,Angela Gonzalez,Gonzalez_Angela84@gmail.com,394-822-3355,************7930
City Hotel,163,2016,September,38,12,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,126.9,0,2,Canceled,2016-09-02,Patricia Smith,Smith.Patricia@yandex.com,536-829-8138,************4754
Resort Hotel,132,2016,October,43,16,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,95.0,0,0,Check-Out,2016-10-23,Amber Brown,Amber.B69@yandex.com,303-534-0848,************8796
Resort Hotel,19,2017,February,8,22,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,154.0,0,Transient,35.0,0,0,Check-Out,2017-02-24,Regina White,White.Regina@yandex.com,580-654-9074,************2002
City Hotel,114,2017,May,20,19,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,9.0,,0,Transient,180.0,0,3,Check-Out,2017-05-22,Amanda Mcintosh,AMcintosh@xfinity.com,796-546-6131,************3484
City Hotel,110,2017,April,17,26,1,4,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,158.95,0,0,Canceled,2017-01-06,David Miller,David_Miller@yandex.com,236-248-6824,************4688
City Hotel,21,2016,February,9,25,0,2,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,81.0,0,0,Check-Out,2016-02-27,Isaiah Moore,Isaiah_M@mail.com,761-735-1936,************1758
City Hotel,113,2016,April,18,25,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,B,2,No Deposit,9.0,,0,Transient-Party,100.75,0,1,Check-Out,2016-04-29,Adam Vincent,Adam_Vincent91@mail.com,835-337-2254,************7148
City Hotel,35,2016,November,49,28,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,75.0,0,0,Canceled,2016-11-25,Brittany Oneill,Brittany_Oneill@yandex.com,120-996-0461,************6705
Resort Hotel,10,2016,March,14,27,1,0,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,105.0,0,2,Canceled,2016-03-25,Mr. Henry Schultz,Mr._Schultz@comcast.net,868-660-2180,************6579
Resort Hotel,5,2016,December,50,10,1,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,42.75,0,1,Check-Out,2016-12-12,Jill Haley,JHaley@zoho.com,100-069-7822,************5899
City Hotel,164,2015,October,40,2,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,19.0,,0,Transient-Party,100.0,0,0,Check-Out,2015-10-03,Louis Lynn,Louis_Lynn@zoho.com,904-328-9850,************8560
City Hotel,57,2016,September,37,7,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,141.84,0,2,Check-Out,2016-09-12,Michelle Johnson,Michelle_Johnson18@protonmail.com,421-303-9472,************8565
City Hotel,62,2016,December,52,24,2,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,1,Check-Out,2016-12-27,Leonard Raymond,Leonard.Raymond@yandex.com,192-034-6528,************5199
City Hotel,90,2017,April,16,19,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390.0,,0,Transient-Party,100.0,0,0,Canceled,2017-02-09,Christina Lewis,ChristinaLewis@aol.com,456-435-8934,************1676
Resort Hotel,10,2017,January,3,20,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,0,Canceled,2017-01-11,Kyle Neal,Kyle_N79@outlook.com,210-694-3008,************4472
Resort Hotel,55,2016,August,33,10,0,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,269.0,1,0,Check-Out,2016-08-11,Alicia Patton,Alicia.P14@aol.com,685-090-8771,************9091
City Hotel,249,2016,August,35,27,1,1,2,2.0,0,BB,RUS,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,86.62,0,1,Canceled,2016-01-13,Kathryn Rice,Rice_Kathryn12@comcast.net,795-746-3222,************7932
City Hotel,16,2015,October,40,1,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Contract,123.33,0,1,Check-Out,2015-10-04,Mark Martin,Mark_M@protonmail.com,826-344-7602,************9600
City Hotel,45,2016,April,17,17,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,112.8,0,1,Canceled,2016-03-04,Kevin Mcmillan,KMcmillan@zoho.com,603-376-1496,************3875
City Hotel,0,2015,August,32,5,0,1,1,0.0,0,BB,AGO,Complementary,Direct,0,0,0,E,A,0,No Deposit,,45.0,0,Transient,0.0,0,0,Check-Out,2015-08-06,Brent Cunningham,BCunningham@yandex.com,647-652-0288,************1999
City Hotel,220,2016,June,23,4,2,1,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,73.33,0,1,Check-Out,2016-06-07,Anthony Burns,Anthony.Burns@outlook.com,192-971-6894,************2568
Resort Hotel,94,2017,June,23,5,3,7,2,0.0,0,HB,CN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,153.6,0,1,Check-Out,2017-06-15,Casey Mcdonald,CMcdonald@att.com,691-278-9735,************7323
City Hotel,2,2016,February,7,10,0,4,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,117.75,0,2,Check-Out,2016-02-14,Justin Brooks,Justin.Brooks16@att.com,128-921-6131,************6400
Resort Hotel,83,2015,July,29,15,2,7,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,190.33,0,1,Check-Out,2015-07-24,Charles King,CKing@outlook.com,772-873-4486,************3481
City Hotel,279,2016,October,42,12,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,98.0,,0,Transient,110.0,0,0,Canceled,2016-05-05,Steven Miller,StevenMiller89@gmail.com,200-332-7417,************7510
Resort Hotel,351,2017,April,14,8,2,5,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Check-Out,2017-04-15,Cory Norton,Norton_Cory19@yahoo.com,863-273-6489,************7884
Resort Hotel,5,2017,April,16,18,0,1,1,0.0,0,BB,PRT,Complementary,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient,0.0,0,2,Check-Out,2017-04-19,Megan Hicks,Megan.H@outlook.com,791-067-6804,************9422
City Hotel,42,2015,December,53,28,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Contract,91.5,1,0,Check-Out,2015-12-30,Jeremy Rodriguez,Jeremy.R@yahoo.com,133-712-5728,************4803
City Hotel,377,2016,October,42,14,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Check-Out,2016-10-16,Paul King,PaulKing@outlook.com,997-818-0499,************1102
City Hotel,22,2016,October,44,25,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,139.0,1,1,Check-Out,2016-10-28,David Lynch,David.L@xfinity.com,457-536-5795,************7055
Resort Hotel,138,2016,April,18,25,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,,,0,Transient,65.0,0,0,Canceled,2016-01-18,Kelly Benson,Kelly.Benson@protonmail.com,438-562-4465,************4685
Resort Hotel,169,2016,July,28,5,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,143.0,,0,Contract,114.2,0,1,Check-Out,2016-07-19,Heidi Wheeler,Heidi_Wheeler93@aol.com,560-708-4513,************6668
Resort Hotel,5,2017,January,4,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,297.0,0,Transient,35.0,0,0,Check-Out,2017-01-25,Jody Luna,Jody_Luna@yandex.com,731-766-5636,************4555
City Hotel,117,2016,December,53,26,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,2,Check-Out,2016-12-29,Nathan Edwards,NEdwards@comcast.net,304-739-8468,************6535
City Hotel,1,2017,January,5,30,1,1,2,1.0,0,BB,CHN,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,81.99,0,4,Check-Out,2017-02-01,Michael Rodriguez,Rodriguez_Michael@att.com,558-587-2461,************1785
City Hotel,3,2015,September,39,22,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,145.0,0,1,Check-Out,2015-09-25,Devin Jackson,DevinJackson@yandex.com,492-554-1096,************6653
City Hotel,135,2015,September,38,14,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Canceled,2015-08-17,Amber Lewis,Amber_Lewis@outlook.com,894-088-8489,************3284
City Hotel,63,2017,April,14,4,0,3,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,0,Canceled,2017-02-02,Heather Hunter,Heather_Hunter55@yandex.com,660-423-8258,************2238
City Hotel,63,2016,November,48,23,0,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,105.0,0,0,No-Show,2016-11-23,Brenda Krueger,Brenda.K@aol.com,834-834-9709,************9921
City Hotel,122,2017,May,19,11,0,2,1,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,117.0,0,0,Check-Out,2017-05-13,Vanessa Allen,Vanessa.A@hotmail.com,669-542-3311,************6394
City Hotel,71,2016,October,41,7,0,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2016-10-08,Mark Solis,Mark.S59@comcast.net,761-142-1256,************4370
City Hotel,20,2016,January,5,29,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,77.6,0,0,Canceled,2016-01-23,Kaitlyn Jenkins,Jenkins.Kaitlyn@aol.com,265-822-4749,************1699
City Hotel,43,2016,June,24,9,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,75.54,0,1,Canceled,2016-05-14,Erin Perry,Perry_Erin@xfinity.com,714-222-0614,************4713
City Hotel,54,2016,March,12,16,0,4,2,0.0,0,BB,ROU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,118.0,,0,Transient,67.32,0,0,Check-Out,2016-03-20,Gregory Townsend,Gregory_T20@yahoo.com,516-028-0359,************7615
Resort Hotel,15,2017,May,22,30,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,84.0,0,0,Check-Out,2017-06-03,Marco Hernandez,MarcoHernandez@hotmail.com,179-845-5209,************7390
City Hotel,21,2016,June,23,1,0,4,2,2.0,0,BB,HUN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,175.95,0,2,Check-Out,2016-06-05,Lauren Anderson,Anderson.Lauren27@aol.com,956-114-4771,************4127
Resort Hotel,468,2016,May,20,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,,0,Transient-Party,67.0,0,0,Canceled,2015-07-30,Mia Owens,Owens_Mia28@yahoo.com,122-902-2502,************2911
City Hotel,13,2017,March,12,19,2,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,198.0,0,0,Canceled,2017-03-06,Heidi Serrano,HeidiSerrano@protonmail.com,332-376-2712,************7329
City Hotel,261,2017,June,26,29,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,90.96,0,0,Check-Out,2017-07-02,Mary Martin,Mary_M@zoho.com,560-863-7747,************7275
City Hotel,38,2017,August,33,18,2,6,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,157.25,0,3,Canceled,2017-07-12,Jennifer Kelly,Jennifer_Kelly22@protonmail.com,982-057-8213,************5503
City Hotel,183,2017,June,23,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,120.0,0,0,Canceled,2016-12-07,Anthony Gallagher,Gallagher.Anthony@comcast.net,591-433-6305,************7543
City Hotel,316,2017,May,19,10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.8,0,1,Canceled,2017-01-09,Gregg Watkins,Gregg.Watkins@gmail.com,950-821-0023,************9590
Resort Hotel,41,2017,April,15,13,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,89.4,0,1,Check-Out,2017-04-17,Mathew Hughes,Hughes_Mathew@yandex.com,240-148-5561,************9516
Resort Hotel,0,2016,March,13,23,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,78.0,0,0,Check-Out,2016-03-24,Kathleen Kline,Kline_Kathleen@comcast.net,228-416-1711,************6969
City Hotel,89,2017,August,34,26,1,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,118.08,0,1,Check-Out,2017-08-28,Diane Walker,Diane.Walker@mail.com,672-088-4581,************5478
City Hotel,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18,Cody Baldwin,Cody.Baldwin@zoho.com,145-605-5896,************4737
City Hotel,101,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,95.88,0,0,Canceled,2016-06-13,Teresa Fisher,TeresaFisher@yahoo.com,766-424-2477,************7995
City Hotel,25,2016,September,38,12,1,0,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,108.0,0,2,Check-Out,2016-09-13,William Colon,William_C@yahoo.com,868-857-2443,************5875
City Hotel,185,2017,June,25,22,0,3,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,128.2,0,1,Check-Out,2017-06-25,Karl Carroll,Karl_C83@verizon.com,950-988-6157,************1154
Resort Hotel,198,2017,April,15,11,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,91.5,0,0,Check-Out,2017-04-14,Sheryl Perez,Sheryl.P58@hotmail.com,393-728-5357,************6098
Resort Hotel,172,2017,April,17,29,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,314.0,,0,Transient,97.71,0,0,Canceled,2016-12-27,Derrick Silva DDS,DDS_Derrick@yahoo.com,320-864-2901,************5081
City Hotel,116,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0,No-Show,2016-02-28,Alexander Neal,Neal_Alexander@aol.com,850-969-0012,************8075
Resort Hotel,0,2015,July,28,5,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306.0,,0,Transient,85.1,0,0,Check-Out,2015-07-06,Glen Chavez,Chavez_Glen@xfinity.com,702-737-4764,************6113
Resort Hotel,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,Rachel Wallace,Rachel_W79@xfinity.com,870-988-2775,************1133
City Hotel,70,2016,April,17,17,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.3,0,0,Check-Out,2016-04-20,Alison Torres,Torres.Alison@gmail.com,208-182-7004,************9912
Resort Hotel,245,2015,September,39,25,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,248.0,,0,Transient,80.0,0,0,Canceled,2015-07-31,Dennis Estrada,Dennis_Estrada56@comcast.net,915-936-6753,************7436
Resort Hotel,130,2015,September,39,21,3,8,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,71.0,,0,Contract,65.64,0,0,Check-Out,2015-10-02,Mrs. Lydia Castro MD,MMD@comcast.net,704-080-3426,************3356
Resort Hotel,16,2016,January,6,31,4,6,2,0.0,0,HB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,74.5,0,1,Check-Out,2016-02-10,Matthew Cummings,MCummings28@gmail.com,867-638-5316,************9784
City Hotel,256,2016,October,43,16,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,,333.0,0,Transient-Party,100.75,0,0,Check-Out,2016-10-21,Kenneth Hinton,Hinton.Kenneth@yandex.com,344-688-0021,************8594
